Nombre,CIF,Es Factura,Total,Invoice Num,Fecha,IVA 1,IVA 2
ticket10.json,NaN,No,0,NaN,26/12/2019,10,NaN
ticket100.json,NaN,No,0,colocarestebievisibletrasel,16/12/2019,NaN,NaN
ticket1000.json,NaN,No,4.65,plazovoluc15diascoserve,Invalid date,NaN,NaN
ticket1003.json,NaN,No,4,NaN,Invalid date,4,NaN
ticket1004.json,NaN,No,4,NaN,Invalid date,4,NaN
ticket1005.json,NaN,No,4,NaN,Invalid date,4,NaN
ticket1006.json,NaN,No,15.54,aaportaciolpresenteen,22/08/2019,21,NaN
ticket1007.json,NaN,No,16.5,NaN,Invalid date,NaN,NaN
ticket1008.json,NaN,No,8224,comesales3,07/08/2019,10,NaN
ticket1009.json,NaN,No,3.55,NaN,Invalid date,10,NaN
ticket101.json,A82492729,No,0,NaN,16/12/2019,21,NaN
ticket1010.json,NaN,Si,4.5,NaN,15/08/2019,4,NaN
ticket1011.json,NaN,Si,4,NaN,13/08/2019,4,NaN
ticket1013.json,NaN,No,29.6,MESA M08,05/07/2019,NaN,NaN
ticket1014.json,NaN,No,8.85,seq2684,14/08/2019,21,NaN
ticket1015.json,NaN,No,8.1,seq2808,14/01/0191,NaN,NaN
ticket1016.json,NaN,No,4.2,NaN,Invalid date,NaN,NaN
ticket1017.json,NaN,No,3.01,46179,05/08/2020,21,NaN
ticket1018.json,NaN,No,0,empleado00000055pe:080133,10/08/2019,NaN,NaN
ticket1019.json,NaN,No,12,sim3042019/1152034,15/08/2019,NaN,NaN
ticket102.json,NaN,No,7.5,0000009873cajero01,Invalid date,NaN,NaN
ticket1020.json,NaN,No,0,NaN,20/03/2020,4,NaN
ticket1022.json,NaN,No,6.3,NaN,30/08/2020,NaN,NaN
ticket1023.json,NaN,No,20,presetarencasoreclamacion,Invalid date,21,NaN
ticket1026.json,NaN,No,9.5,NaN,05/08/2019,10,NaN
ticket1027.json,NaN,No,40.12,NaN,20/03/2020,10,NaN
ticket1028.json,NaN,No,2,fecha:129057,01/08/2019,NaN,NaN
ticket1029.json,B18905182,Si,220.7,comesales10,Invalid date,10,NaN
ticket103.json,NaN,No,21.05,rotaciol,16/12/2019,4,NaN
ticket1030.json,B18905182,Si,220.7,comesales10,Invalid date,10,NaN
ticket1031.json,B90212473,No,21,1473818,01/08/2019,21,NaN
ticket1032.json,NaN,No,0,billete7905401015052,31/07/2019,NaN,NaN
ticket1033.json,NaN,No,14,NaN,16/05/2019,10,NaN
ticket1034.json,B18905182,No,121,comesales2,10/01/2008,NaN,NaN
ticket1035.json,B18905182,No,121,comesales2,10/01/2008,NaN,NaN
ticket1036.json,B18905182,No,121,comesales2,10/01/2008,NaN,NaN
ticket1038.json,NaN,No,0,garajequecoelizseencuentraenelgarajedelafincasitaen,20/03/2020,NaN,NaN
ticket1039.json,NaN,No,0,garajequecoelizseencuentraenelgarajedelafincasitaen,20/03/2020,NaN,NaN
ticket104.json,NaN,No,5.7,total,13/12/2019,NaN,NaN
ticket1040.json,NaN,No,0,garajequecoel12seencuentraenelgarajedelafincasitaen,20/03/2020,NaN,NaN
ticket1042.json,NaN,No,0,garajequecoel12seencuentraenelgarajedelafincasitaen,20/03/2020,NaN,NaN
ticket1043.json,NaN,No,0,garajequecoel12seencuentraenelgarajedelafincasitaen,20/03/2020,NaN,NaN
ticket1044.json,NaN,No,0,garajequecoel12seencuentraenelgarajedelafincasitaen,20/03/2020,NaN,NaN
ticket1047.json,NaN,No,0,NaN,24/07/2019,21,NaN
ticket1048.json,NaN,No,6.2,NaN,25/07/2019,21,NaN
ticket1049.json,NaN,No,17.6,NaN,Invalid date,10,NaN
ticket105.json,NaN,No,7,NaN,17/12/2013,10,NaN
ticket1050.json,NaN,No,8331,NaN,20/03/2020,NaN,NaN
ticket1051.json,NaN,No,31.7,t001/390261fecha,23/07/2019,10,NaN
ticket1053.json,NaN,No,4603320505,operació,17/06/2019,21,NaN
ticket1054.json,NaN,No,1.3,259275,20/07/2019,NaN,NaN
ticket1055.json,NaN,Si,3,simplitb00001tb349604fecha,21/06/2019,10,NaN
ticket1056.json,NaN,No,766.64,NaN,13/07/2019,NaN,NaN
ticket1057.json,NaN,No,16.25,NaN,19/07/2019,NaN,NaN
ticket1058.json,B18905182,Si,37.3,NaN,Invalid date,10,NaN
ticket106.json,NaN,No,10,NaN,17/12/2019,NaN,NaN
ticket1060.json,NaN,No,2.5,NaN,Invalid date,NaN,NaN
ticket1061.json,B86568947,No,2012,NaN,Invalid date,10,NaN
ticket1062.json,NaN,No,10,NaN,Invalid date,10,NaN
ticket1063.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket1064.json,NaN,No,170,NaN,17/07/2019,4,NaN
ticket1065.json,NaN,No,21.01,NaN,Invalid date,21,NaN
